"","sI","tI","rho","av_accuracy","av_search","av_accuracy_s1","av_accuracy_s0"
"73",0.780304146072379,4,0.2,0.9,0,NA,0.90000284007789
"74",0.69467046757101,4,0.2,0.925,0,NA,0.92507355054355
"75",0.607956831911769,4,0.2,0.95,0,NA,0.950203210943535
"76",3.94715387554275,1,0.5,0.6,0.285454545008711,0.858622176384331,0.92730469034822
"77",3.13834420066129,1,0.5,0.625,0.299208434118612,0.857649247928273,0.927775862903508
"78",2.59524236883453,1,0.5,0.65,0.306205440989878,0.856726571843112,0.927440061159715
"79",2.20379754343486,1,0.5,0.675,0.307562022749012,0.855984503405752,0.926681738724126
"80",1.90693940178649,1,0.5,0.7,0.310552753788337,0.856099839759899,0.92715035664782
"81",1.6729118528206,1,0.5,0.725,0.307526384459322,0.856510204343521,0.927357228358948
"82",1.4826022185056,1,0.5,0.75,0.301360580273444,0.857543614826785,0.928057904280688
"83",1.32377562678085,1,0.5,0.775,0.291153111194877,0.859240492119102,0.929215399901879
"84",1.18818294989389,1,0.5,0.8,0.273312497695457,0.861403965037076,0.930284692770349
"85",1.06998872076887,1,0.5,0.825,0.252430254767205,0.864660678001387,0.932389683704195
"86",0.964847341022481,1,0.5,0.85,0.219659709474446,0.868402539770755,0.934015347201758
"87",0.869301115868934,1,0.5,0.875,0.178390941472525,0.873194306392317,0.936203273262667
"88",0.780304146072379,1,0.5,0.9,0.123782858434527,0.878556880010704,0.938500530642647
"89",0.69467046757101,1,0.5,0.925,0.0581879575695931,0.883569534209016,0.942306073948288
"90",0.607956831911769,1,0.5,0.95,0.010018983665516,0.889032299173139,0.953336009326182
"91",3.94715387554275,1.5,0.5,0.6,0.55540215183984,0.855226383553276,0.880383625225106
"92",3.13834420066129,1.5,0.5,0.625,0.564118858168282,0.855063471034538,0.880982114477719
"93",2.59524236883453,1.5,0.5,0.65,0.561787787720388,0.855159684769045,0.88094949618699
"94",2.20379754343486,1.5,0.5,0.675,0.554850903130597,0.855901754492999,0.881835314412398
"95",1.90693940178649,1.5,0.5,0.7,0.542435133370516,0.857353023765218,0.883443447316865
"96",1.6729118528206,1.5,0.5,0.725,0.515621523529318,0.859175721240382,0.883886519420014
"97",1.4826022185056,1.5,0.5,0.75,0.483455515034919,0.861980598888721,0.885140761937342
"98",1.32377562678085,1.5,0.5,0.775,0.434877630094569,0.865361127187473,0.885324388509656
"99",1.18818294989389,1.5,0.5,0.8,0.371302887529015,0.869501648581294,0.885113808805316
"100",1.06998872076887,1.5,0.5,0.825,0.293249776791587,0.874523093185559,0.885317984019406
"101",0.964847341022481,1.5,0.5,0.85,0.202278232764578,0.880458452409259,0.887009975586514
"102",0.869301115868934,1.5,0.5,0.875,0.0968986317572664,0.886274654917312,0.890924506565971
"103",0.780304146072379,1.5,0.5,0.9,0.0166099553102739,0.892134883057521,0.902365048858599
"104",0.69467046757101,1.5,0.5,0.925,0,NA,0.92518457931198
"105",0.607956831911769,1.5,0.5,0.95,0,NA,0.951003013163836
"106",3.94715387554275,2,0.5,0.6,0.742061050343584,0.853686860562752,0.851688215231334
"107",3.13834420066129,2,0.5,0.625,0.740493009256417,0.85411948460031,0.85273520509176
"108",2.59524236883453,2,0.5,0.65,0.734742179115769,0.855413615668806,0.85513890580153
