"","ID","mean_accuracy","mean_search","mean_confidence","mean_final_accuracy","AccStronger","MaxPoints","DotDiff","dprime","meta_dprime","mratio"
"155","flkgwb",0.777777777777778,0.383838383838384,1.67676767676768,0.909090909090909,0.92,8685,3.00714285714286,1.46616495177163,0.692525893098481,0.472338322002358
"156","flnpct",0.76,0.66,1.53,0.96,0.94,8880,3.23928571428571,1.39624107959109,1.31180418381958,0.939525561161512
"157","fnbpzd",0.73,0.45,2.14,0.84,0.94,7920,2.97142857142857,1.28438154093326,0.462187989748227,0.359852563290803
"158","fqocze",0.75,0.9,1.74,0.97,0.98,8575,3.48928571428571,1.31860566149477,1.25633660995478,0.952776593216353
"159","fqwihg",0.77,0.98,2.93,1,0.92,8760,3.46785714285714,1.42319500256785,1.44985029782429,1.01872919396734
"160","frgggq",0.66,0.98,1.7,0.83,0.9,7075,2.84285714285714,1.06056224353143,0.794490854280301,0.749122325564628
"161","frzlti",0.69,0.05,1.99,0.7,0.826923076923077,6975,2.80357142857143,1.05401792320353,1.28474141461616,1.21889902091169
"162","fshrly",0.666666666666667,0.181818181818182,1.95959595959596,0.747474747474748,0.78,7380,2.3,0.84332016581637,0.558290016647536,0.662014308773332
"163","fspizy",0.78,0.44,2.19,0.88,0.88,8300,2.80714285714286,1.5515583633531,0.565279914995885,0.364330423107158
"164","fvahyn",0.77,0.73,1.49,0.94,0.96,8510,2.95357142857143,1.45696109817233,0.666092244656021,0.457179155635381
"165","fviitc",0.72,0.51,1.81,0.86,0.86,8135,2.64642857142857,1.23899066025262,1.25249285776237,1.01089773954147
"166","fwxjrh",0.777777777777778,0.545454545454545,1.61616161616162,0.919191919191919,0.94,8485,2.86785714285714,1.43142677841435,1.0346895796195,0.722837937100537
"167","fxrahc",0.74,0.33,2.3,0.81,0.98,7725,3.11428571428571,1.47681098191338,0.961925044602648,0.651352851775496
"168","fxwsbo",0.73,0.99,1.93,1,0.92,8755,3.63571428571428,1.68235178529302,0.148932097304814,0.0885261326476219
"169","fyzauu",0.793814432989691,0.216494845360825,2.25773195876289,0.793814432989691,0.86,7705,2.55,1.79535758202549,1.38815429264625,0.773190982422655
"170","gagmbf",0.77,0.2,1.3,0.79,0.9,7755,2.70357142857143,1.42319500256785,0.361039553634975,0.25368242087947
"171","gciwnv",0.66,0.45,1.99,0.9,0.96,8520,3.44285714285714,0.911008171858348,1.82654553145813,2.00497162142047
"172","gdbpbi",0.63,0.7,2.12,0.85,0.66,7700,2.84285714285714,0.610654630445633,1.05003302638215,1.71952028860548
"173","gdolnp",0.74,0.5,1.48,0.83,0.84,7825,2.51785714285714,1.23573452810686,0.974183600022778,0.788343756579517
"174","gfdbje",0.79,0.54,2.16,0.98,0.92,9110,3.06785714285714,1.59849570551536,1.48311756465799,0.927820800231567
"175","gfoarr",0.63,0.35,2.15,0.7,0.92,6720,2.68214285714286,0.833069923555027,1.11998517693556,1.34440716831567
"176","ggnqys",0.74,0.38,1.63,0.83,0.82,7930,2.525,1.51985137701523,0.634058450761958,0.417184509190076
"177","ghztbc",0.68,0.16,2.05,0.71,0.84,6960,2.82142857142857,0.886202584843617,1.07848455370796,1.21697292713074
"178","gjgiel",0.686868686868687,0.181818181818182,2.44444444444444,0.707070707070707,0.8,6950,2.9,1.20830892262227,0.635827217056009,0.526212465332242
"179","gjopdx",0.67,0.03,2.75,0.69,0.84,6870,2.61428571428571,0.883670632045818,0.609360051734504,0.689578254200609
"180","gjtdnq",0.75,0.27,2.22,0.56,0.9,5270,2.84285714285714,1.30622164981261,1.26732189742367,0.970219638914632
"181","gjxsso",0.78,0.65,1.57,0.92,0.96,8320,2.63928571428571,1.47097096347641,0.798953237426586,0.543146844678963
"182","glhwwp",0.6,0.23,2.06,0.67,0.96,6480,3.01071428571429,0.495055170018735,1.1275319798772,2.27758853590909
"183","gllzes",0.82,0.38,1.97,0.91,0.96,8760,3.08214285714286,2.02424157087687,1.41278802240632,0.697934496915959
"184","glpcfn",0.78,0.01,1.1,0.8,0.98,7995,3.18928571428571,1.9526156483146,0.506279101495351,0.259282517751175
"185","gmbkiw",0.74,0.16,2.79,0.77,0.94,7545,2.83571428571428,1.26042538220755,1.00774043567153,0.799524073298603
"186","gmxrhy",0.7,0.28,2.93,0.81,0.9,7810,2.825,1.20916078616108,2.80089817509357,2.31639845349769
"187","gncyvf",0.75,0.37,2.11,0.87,1,8260,3.375,1.31595062213582,1.23765503819458,0.940502643013942
"188","gnuzlk",0.81,0.6,2.43,0.95,1,8855,3.12142857142857,1.88379275449892,1.51766450062418,0.805643028937049
"189","goxuod",0.8,0.99,2.41,0.92,0.96,7975,3.07142857142857,1.92450111534875,1.45870848322873,0.757967076035909
"190","gplujc",0.69,0.51,2.1,0.81,0.9,7485,2.73928571428571,1.15784828958168,0.174115874544335,0.150378832970632
"191","gpnmji",0.795918367346939,0.510204081632653,2.45918367346939,0.908163265306122,0.8,8680,3.06785714285714,1.65523077840673,0.543441261754944,0.328317518526354
"192","gqhgmb",0.66,0.17,1.92,0.72,0.98,6965,2.83571428571428,0.934884740335481,0.947001833767259,1.01296105595587
"193","gqxhoh",0.8,0.03,1.41,0.82,1,8185,3.42142857142857,2.06333965786524,0.814428987636179,0.39471396991361
"194","guylfo",0.74,0,1.77,0.73,0.84,7300,2.85357142857143,1.26052644959789,0.204806814715869,0.162477205282921
"195","gvqihj",0.77,0.02,2.22,0.78,0.9,7790,3.06428571428571,1.48898504014086,1.09923044818944,0.738241431952505
"196","gvwvxr",0.85,0.24,2.64,0.92,0.959183673469388,8930,2.97857142857143,2.01410601687993,2.34705445604769,1.16530829875755
"197","gwfgik",0.77,0.86,1.57,0.96,0.94,8495,3.325,1.333639705966,0.651065873937928,0.488187230048269
"198","gyjxpg",0.78,0.51,2.1,0.91,0.98,8560,3.05714285714286,1.58327421434454,1.00648232760032,0.635696784853526
