"ID","mean_accuracy","mean_search","mean_confidence","mean_final_accuracy","AccStronger","MaxPoints","DotDiff","dprime","meta_dprime","mratio"
"byfxwj",0.76,0.42,2.38,0.93,0.96,8865,3.52142857142857,2.50003182562327,2.01150086687258,0.804590104116417
"byyccp",0.65,0.03,1.3,0.65,0.92,6485,2.76071428571428,1.11945039129692,0.428723547482281,0.382976816851698
"bzovoo",0.76,0.46,2.01,0.84,0.98,7825,2.87857142857143,1.82536153663821,0.833131052148689,0.456419747773955
"caaopl",0.85,0.01,2.45,0.86,1,8580,3.57142857142857,2.01410601687993,1.61972440238734,0.804190240639104
"cewqpg",0.75,0.31,2.05,0.86,0.9,8250,2.86428571428571,1.37323892432563,0.489039503405663,0.356121207127754
"cfdicp",0.83,0.46,2.2,0.98,0.98,9225,3.48214285714286,2.10791647809441,2.0413029507824,0.96839840287589
"cfhhlj",0.78,0.2,2.08,0.86,0.98,8455,2.83214285714286,1.46473933404115,1.20303607476494,0.821331172588788
"cfmyxg",0.73,0.04,2.15,0.76,0.86,7580,3.49642857142857,1.44189705326752,-0.960257544249563,-0.665968171634373
"cfrnqt",0.74,0.62,1.52,0.87,0.86,7985,2.83928571428571,1.1928160769283,0.234685407677808,0.196749031319365
"cfxjma",0.67,0.47,1.46,0.83,0.9,7825,2.425,0.865159472706666,0.329053502666708,0.380338553812811
"chfvlf",0.72,0,1.81,0.72,0.94,7200,3.07142857142857,1.0991861270556,1.25060490869294,1.13775536090776
"chpdfx",0.8,0.97,1.54,0.97,0.92,8465,2.95714285714286,1.64001853981967,1.17124800248886,0.714167537775305
"cjdjqk",0.8,0.15,2.65,0.84,0.96,8280,3.00357142857143,1.72131337067168,1.15789730490882,0.672682455523476
"ckxobc",0.72,0.53,1.64,0.82,0.78,7590,2.3,1.19898012102373,1.07099718415747,0.893256831683768
"cnkwvz",0.66,0.08,1.83,0.7,0.9,6945,3.06428571428571,0.795675967394224,0.762660640066335,0.958506567144397
"cotpxk",0.73,0.87,1.62,0.83,0.92,7190,2.69642857142857,1.41816577871706,0.00632823363016939,0.00446226648896732
"csdjcz",0.61,0.64,1.34,0.7,0.86,6245,2.18571428571428,0.54188273369014,0.6035851662178,1.11386676247733
"ctfjzi",0.69,0,2,0.69,0.94,6900,2.93928571428571,1.32554168383991,1.24972150982953,0.942800611301227
"ctunbu",0.74,0.47,1.52,0.89,1,8305,3.26428571428571,1.1965834624677,0.962912411847674,0.804718134631303
"cvrflt",0.63,0.06,1.88,0.63,0.8,6255,2.64642857142857,0.678540321714772,0.0133241066418815,0.0196364257443234
"cvzskk",0.767676767676768,0.121212121212121,2.54545454545455,0.797979797979798,0.9,7895,2.83571428571429,1.45832633930352,1.37392546489498,0.94212483712744
"cwfril",0.73,0.03,2.86,0.71,0.92,7085,3.20714285714286,1.14323326756894,1.25544508077094,1.09815303349299
"cwoyjb",0.73,0.73,2.07,0.93,0.86,8500,2.775,1.28872245720874,0.842288020800382,0.653583722460076
"cwtyzh",0.75,0.14,2.08,0.8,0.94,7885,2.68214285714286,1.42051600422816,1.00124047805061,0.704842800130676
"cwvrbo",0.8,0.03,2.62,0.81,0.96,8085,2.85,1.6697941408851,0.94092992311872,0.563500553798787
"cyfapl",0.81,0.68,1.77,0.96,0.98,8705,3.13571428571428,1.87576228830952,0.644009434907589,0.34333211565309
"cyukhk",0.79,0.15,1.11,0.87,1,8625,2.98928571428571,1.58913991605098,-0.0771172435442547,-0.0485276612621318
